psraid,sample,lang,state,fips,cregion,usr,llitext,form,sex,q1,intuse,emlocc,eminuse,intmob,act21,act87,act93,act112,act130,look1,look2,loc1a,loc1b,q10a,q10b,cellphn,smart1,smart2,q11a,q11b,q11c,q11d,q11e,q11f,q12,mar,4-Mar,meet,rel1,intdatea,intdateb,intdatec,intdated,intdatee,celldatea,celldateb,breaka,breakb,date1a,date3a,date3b,date9a,date9b,date9c,date9d,rel5,rel6,q13a,q13b,q13c,age,educ2,emplnw,hisp,race,inc,lgbt
200172,2,1,6,06111,4,S, ,2,1,2, , ,1,1,1,1,1,2,2,1,2, ,1, ,2,1,1,3,1,1,1,1,1,1,2,1, , ,2,2,2, , , , , , , ,2,1,1,1,2,2,2,1,3,2,2,2,58,8,4,2,1,8,1
200174,2,1,17,17043,2,S, ,2,2,3, , ,1,1,1,1,1,1,1,1,2, ,2, ,2,1,2,8,2,2,2,2,2,1, ,6,2, , ,1,2, , , , , , , ,1,1,1,1,1,2,2, , ,2,2,2,22,4,2,2,1,6,1
200186,2,1,40,40073,3,R, ,2,1,3, , ,1,1,1,2,1,2,1,1,1, , , ,2,1,1,3,1,1,1,1,1,1,2,6, , ,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,1,3,2,1,2,19,4,4,2,1,6,1
200195,2,1,29,29091,2,R, ,1,1,3,1,2, ,2,2,1,1,2,2,2,2,2, , ,2,1,2,12,2,2,2,2,2,1, ,6, , ,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,3,2,2,2,18,3,4,2,1,98,1
200196,2,1,6,06061,4,R, ,2,2,2, , ,1,1,1,2,8,2,8,1,2, , , ,2,1,1,1,1,1,1,2,2,1,2,5,2, , ,2,2, , , , , , , ,2,2,2,1,1,2,2, , ,2,2,2,64,3,3,2,1,7,1
200200,2,1,48,48201,3,S, ,1,1,3,1,1, ,1,1,2,1,2,2,1,2, , , ,1,1,2,9,2,2,2,2,2,2, ,1, , ,2,2,2, , , , , , , ,2,2,2,1,1,2,8,1,3,2,2,2,79,5,3,9,9,5,1
200212,2,1,6,06037,4,U, ,2,1,4, , ,1,1,2,1,2,2,2,1,1, ,2, ,1,1,1,1,1,1,1,1,2,1,2,1, , ,2,1,2, , , , , , , ,2,2,2,2,1,1,2,1,2,2,2,2,57,6,1,2,1,9,1
200213,2,1,6,06067,4,S, ,1,1,2,1,1, ,2,1,2,2,2,2,2,2, , , ,2,1,2,8,2,2,2,2,2,2, ,1, , ,2,2,2, , , , , , , ,2,2,2,2,2,2,1,1,3,2,2,2,66,3,3,2,1,7,1
200214,2,1,53,53063,4,S, ,2,2,2, , ,1,1,1,1,2,2,8,1,1, ,1, ,1,1,1,1,2,1,1,2,1,1,2,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,42,6,1,2,1,8,2
200215,2,1,39,39095,2,U, ,2,2,3, , ,1,2,1,1,1,1,2,1,2, ,2, ,1,1,2,9,2,2,2,2,2,2, ,3,2, , ,2,2, , , , , , , ,2,2,2,2,2,2,2, , ,2,2,2,62,6,1,2,1,3,1
200219,2,1,26,26065,2,U, ,1,1,5,2,2, ,2, , , , , , , , , , ,2,1,2,10,2,2,2,2,2,2, ,1, , ,2, , , , , , , , , , ,2,2,2,2,1,8, ,3,2,2,2,77,5,5,2,1,8,1
200224,2,1,39,39095,2,U, ,1,1,4,1,1, ,1,2,1,1,1,2,1,1,1, , ,1,1,1,1,1,1,1,1,1,1,3,5,1,1, ,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1, , ,2,1,2,53,4,1,2,4,7,1
200231,2,1,12,12011,3,U, ,1,2,2,2,2, ,1,2,2,2,2,2,2,2, , , ,2,1,2,7,1,2,1,2,1,1,2,1, , ,2,2,2, , , , , , , ,2,1,2,2,2,1,2,2,3,2,2,2,64,3,2,2,2,99,1
